CMDLINE C:\Python312\python.exe pipelines/clean_fire_data.py
MEM 895.968750 1746033082.4912
MEM 896.492188 1746033082.5917
MEM 896.906250 1746033082.6921
MEM 897.273438 1746033082.7929
MEM 897.796875 1746033082.8935
MEM 898.253906 1746033082.9942
MEM 898.578125 1746033083.0987
MEM 898.773438 1746033083.2054
MEM 899.039062 1746033083.3102
MEM 899.292969 1746033083.4112
MEM 899.558594 1746033083.5426
MEM 899.753906 1746033083.6436
MEM 900.015625 1746033083.7451
MEM 900.210938 1746033083.8465
MEM 900.542969 1746033083.9484
MEM 900.808594 1746033084.0492
MEM 901.328125 1746033084.1499
MEM 901.652344 1746033084.2508
MEM 902.113281 1746033084.3511
MEM 902.570312 1746033084.4518
MEM 903.093750 1746033084.5523
MEM 903.355469 1746033084.6541
MEM 903.617188 1746033084.7552
MEM 903.878906 1746033084.8555
MEM 904.269531 1746033084.9559
MEM 904.566406 1746033085.0730
MEM 904.660156 1746033085.1844
MEM 904.921875 1746033085.2857
MEM 905.375000 1746033085.3864
MEM 905.574219 1746033085.4867
MEM 905.902344 1746033085.5872
MEM 906.355469 1746033085.6882
MEM 906.683594 1746033085.7885
MEM 906.941406 1746033085.8888
MEM 907.335938 1746033085.9894
MEM 907.664062 1746033086.0896
MEM 908.179688 1746033086.1902
MEM 908.378906 1746033086.2907
MEM 908.835938 1746033086.3910
MEM 909.164062 1746033086.4914
MEM 909.679688 1746033086.5919
MEM 909.945312 1746033086.6927
MEM 910.140625 1746033086.7940
MEM 910.402344 1746033086.9056
MEM 910.468750 1746033087.0061
MEM 910.921875 1746033087.1066
